query_id,场景,数据属性,流向,操作类型,系统给出的结论,法律有效性(1-5),业务效用(1-5),是否过度保守(是/否),遗漏的关键规范(可留空),修改建议(可留空)
GBAMC-DRAFT-0487,gba_storage_backup,内分泌疾病记录；诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据,HK->CN,storage_backup,本操作系香港向内地提供数据（入境），内地出境制度（PIPL第38/39/40条、数据跨境流动规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得据此要求安全评估、标准合同或备案。香港PDPO保障资料原则与内地PIPL在入境接收端可能并行适用，但义务不相互排斥，属并行义务。候选内地规则中涉及敏感个人信息识别、数据分级者，因操作方向为入境，不构成本情境下的适用冲突。,,,,,
GBAMC-DRAFT-0551,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；基因测序数据；可穿戴健康数据；生命体征监测数据,HK->CN,storage_backup,本操作系香港向内地存储备份，内地出境制度（PIPL第38/39/40条、促进规定、人类遗传资源条例）均不适用，不得要求安全评估或境内存储。候选内地规则多为推荐性技术文件，不创设法律义务；香港PDPO各保障资料原则与内地规则在各自法域内并行适用，义务不相互排斥，不构成真冲突。,,,,,
GBAMC-DRAFT-0510,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK->CN,storage_backup,本操作系香港向内地存储备份，内地出境制度（PIPL第38/39/40条、跨境流动规定、GBA标准合同指引）及人类遗传资源条例均不适用，不得据此要求安全评估或境内存储。香港PDPO各项保障资料原则与内地敏感个人信息识别指南并行适用，义务不相互排斥，不构成真冲突。,,,,,
GBAMC-DRAFT-0576,gba_storage_backup,内分泌疾病记录；诊断记录（ICD-10）；检验检查数据；基因测序数据；可穿戴健康数据,HK->CN,storage_backup,本操作系香港向内地存储备份，内地出境制度（PIPL第38/39/40条、跨境流动规定、人类遗传资源条例）均不适用，不得要求安全评估或备案。候选CN规则多为推荐性技术文件，不创设义务；HK PDPO各保障资料原则与CN推荐性指南之间无相互排斥义务，不构成真冲突。,,,,,
GBAMC-DRAFT-0552,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；基因测序数据；可穿戴健康数据；生命体征监测数据,HK->CN,storage_backup,本操作系香港向内地存储备份，内地出境制度（PIPL第38/39/40条、跨境流动规定、人类遗传资源条例）均不适用，不得要求安全评估或境内存储。候选内地规则多为推荐性技术文件，不创设法律义务；香港PDPO规则与内地规则分属不同法域，义务不相互排斥，整体不构成规范冲突。,,,,,
GBAMC-DRAFT-0502,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK->CN,storage_backup,本操作系香港向内地存储备份，内地出境制度（PIPL第38/39/40条、跨境流动规定、GBA标准合同指引）及人类遗传资源条例均不适用，不得据此要求安全评估或境内存储。香港PDPO各项保障资料原则对资料使用者构成并行义务，与内地接收端规则不相互排斥。推荐性技术文件不创设法律义务，不构成冲突。,,,,,
GBAMC-DRAFT-0503,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK->CN,storage_backup,本操作系香港向内地存储备份，内地出境制度（PIPL第38/39/40条、跨境流动规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得要求安全评估或境内存储。香港PDPO各项保障资料原则与内地敏感个人信息保护规则各自适用、义务不排斥，属并行义务。推荐性技术文件不创设法律义务，不构成冲突。,,,,,
GBAMC-DRAFT-0482,gba_storage_backup,孕产记录；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK->CN,storage_backup,本操作系由香港向内地做存储备份，内地出境制度（PIPL第38/39/40条、跨境流动规定、GBA标准合同指引）及人类遗传资源条例均不适用，不得据此要求安全评估、标准合同或备案。香港PDPO各项保障资料原则与内地敏感个人信息保护规则各自适用、义务不相互排斥，属并行义务，不构成真冲突。,,,,,
GBAMC-DRAFT-0578,gba_storage_backup,检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK->CN,storage_backup,本操作系香港向内地存储备份，内地出境制度（PIPL第38/39/40条、数据跨境流动规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得要求安全评估或境内存储。香港PDPO的同意、使用限制、保安等义务与内地敏感个人信息处理规则并行，不相互排斥。推荐性技术文件不创设法律义务。,,,,,
GBAMC-DRAFT-0558,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；基因测序数据；可穿戴健康数据；生命体征监测数据,HK->CN,storage_backup,本操作系香港向内地存储备份，内地出境制度（PIPL第38/39/40条、数据跨境规定、人类遗传资源条例）均不适用；仅香港PDPO保障资料原则适用。候选内地规则因方向不符不适用，不构成冲突；香港各原则间为并行义务。,,,,,
GBAMC-DRAFT-0524,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK->CN,storage_backup,本操作系香港向内地存储备份，内地出境制度不适用；应依香港PDPO保障资料原则处理，并关注内地敏感个人信息接收端保护要求。推荐性技术文件不创设法律义务，不构成冲突。,,,,,
GBAMC-DRAFT-0368,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO->CN,telemedicine,本操作系澳门向内地提供远程医疗数据（入境），内地出境制度及GBA标准合同指引不适用，人类遗传资源对外提供规则亦不适用。澳门PDPA第19条原则禁止向无适当保护水平地区转移，第20条明确同意等例外可排除适用；内地侧仅并行适用敏感个人信息处理与分类分级参考要求，无相互排斥的真冲突。,,,,,
GBAMC-DRAFT-0431,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO->CN,telemedicine,本操作系澳门向内地提供诊疗数据，内地出境制度（PIPL第38/39/40条、跨境流动规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得据此要求安全评估或备案。澳门PDPA第19条为一般规则，第20条为明确同意等例外，二者构成一般与例外关系，非真冲突。内地推荐性技术文件不创设义务，不得据以压制。整体无相互排斥义务。,,,,,
GBAMC-DRAFT-0387,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO->CN,telemedicine,本操作系澳门向内地提供诊疗数据，内地出境制度（PIPL第38/39/40条、跨境流动规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得据此要求安全评估或备案。澳门PDPA第19条为一般规则，第20条为明确同意例外，二者构成一般与例外关系，可并存适用。,,,,,
GBAMC-DRAFT-0444,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO->CN,telemedicine,本操作系澳门向内地提供医疗数据用于远程医疗，内地出境制度（PIPL第38/39/40条、数据跨境流动规定、GBA标准合同指引）及人类遗传资源条例均不适用，不触发安全评估、标准合同或备案义务。澳门PDPA第19条为一般规则，第20条为明确同意等例外，二者属一般与例外关系，非真冲突。广东团体标准与CN技术指南为推荐性文件，不创设法律义务，不构成冲突。,,,,,
GBAMC-DRAFT-0475,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO->CN,telemedicine,该操作由澳门向内地提供远程医疗数据，内地出境制度不适用；澳门PDPA第19条要求目的地具备适当保护水平，而内地未获澳门适当性认定，构成程序前置冲突。数据含敏感医疗信息，但方向为入境，不触发内地安全评估或标准合同。,,,,,
GBAMC-DRAFT-0421,gba_telemedicine,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；基因测序数据；门诊病历,MO->CN,telemedicine,本操作系澳门向内地提供远程医疗数据（入境），内地出境制度（PIPL第38/39/40条、数据跨境流动规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得据此要求安全评估、标准合同、备案或境内存储。澳门PDPA第19条为出境规则，方向相反亦不适用。候选规则中仅广东团体标准与CN技术指南涉及数据类型，但均为推荐性文件，不创设法律义务，且与澳门法不构成义务排斥。故无规范冲突。,,,,,
GBAMC-DRAFT-0383,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO->CN,telemedicine,本操作系澳门向内地提供远程医疗数据（入境），内地出境制度及GBA标准合同指引不适用，人类遗传资源对外提供规则亦不适用。澳门PDPA第19条原则禁止向无适当保护水平地区转移，第20条明确同意等例外可排除该禁止；内地侧仅并行适用接收后的个人信息保护义务。候选内地规则多为推荐性技术文件，不创设义务，不构成冲突。,,,,,
GBAMC-DRAFT-0429,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO->CN,telemedicine,本操作由澳门向内地提供远程医疗数据，内地出境制度（PIPL第38/39/40条、促进规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得据此要求安全评估或境内存储。澳门PDPA第19条为一般规则，第20条为明确同意等例外；目的地内地尚无澳门当局适当性认定，故第19条与第20条构成一般与例外关系，需个案判断。内地推荐性技术文件不创设法律义务，仅作分级参考。,,,,,
GBAMC-DRAFT-0447,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO->CN,telemedicine,本操作系澳门向内地提供诊疗数据用于远程医疗，内地出境制度及人类遗传资源规则均不适用。澳门PDPA第19条要求接收地具备适当保护水平，内地已具备相应法律体系，故不构成冲突。广东团体标准仅为推荐性参考，不创设法律义务。整体为并行合规义务，无规范冲突。,,,,,
GBAMC-DRAFT-0420,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO->CN,telemedicine,本操作由澳门向内地提供远程医疗数据，内地出境制度（PIPL第38/39/40条、促进规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得要求安全评估、标准合同或备案。澳门PDPA第19条为出境规则，目的地为内地，须判断内地法律体系是否确保适当保护程度；若未获适当性认定，则须依第19条第2款由澳门个资保护当局个案决定，或依第20条取得当事人明确同意并通知当局。内地敏感个人信息识别指南、广东分级团体标准仅作参考，不创设义务。,,,,,
GBAMC-DRAFT-0445,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历；生命体征监测数据,MO->CN,telemedicine,本操作系澳门向内地提供诊疗数据（入境方向），内地出境制度（PIPL第38/39/40条、促进规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得要求安全评估、境内存储或备案。澳门PDPA第19条为出境规则，方向不符，亦不适用。候选规则中广东省团体标准与CN技术指南均不创设法律义务，且无同向适用规则，故无规范冲突。,,,,,
GBAMC-DRAFT-0467,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO->CN,telemedicine,本操作由澳门向内地提供远程医疗数据，内地出境制度（PIPL第38/39/40条、数据跨境流动规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得据此要求安全评估、标准合同或备案。澳门PDPA第19条为一般原则，第20条为明确同意等例外，二者属一般与例外关系，可并存适用。广东团体标准与技术指南不创设法律义务，仅作分级参考。,,,,,
GBAMC-DRAFT-0457,gba_telemedicine,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；门诊病历；生命体征监测数据,MO->CN,telemedicine,本操作由澳门向内地提供远程医疗数据，属入境方向，内地出境制度（PIPL第38/39/40条、促进规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得要求安全评估、标准合同或境内存储。澳门PDPA第19条为出境规则，方向相反亦不适用。候选规则中无同时适用且义务相互排斥者，不构成冲突。,,,,,
GBAMC-DRAFT-0373,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历；生命体征监测数据,MO->CN,telemedicine,本操作系澳门向内地提供远程医疗数据（入境方向），内地出境制度（PIPL第38/39/40条、数据跨境流动规定、GBA标准合同指引、人类遗传资源条例第28条）均不适用，不得据此要求安全评估、标准合同、备案或境内存储。澳门PDPA第19/20条为出境规则，方向相反亦不适用。候选规则中广东省团体标准与网安技术指南均为推荐性文件，不创设法律义务，不构成冲突。故本情境下无规范冲突。,,,,,
GBAMC-DRAFT-0477,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO->CN,telemedicine,本操作系澳门向内地提供诊疗数据用于远程医疗，属入境方向，内地出境制度（PIPL第38/39/40条、促进规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得要求安全评估、标准合同或备案。澳门PDPA第19条为一般原则，第20条为明确同意等例外，二者构成一般与例外关系，非真冲突。广东团体标准仅为推荐性参考，不创设义务。,,,,,
GBAMC-DRAFT-0406,gba_telemedicine,诊断记录（ICD-10）；孕产记录；检验检查数据；门诊病历；生命体征监测数据,MO->CN,telemedicine,本操作系澳门向内地提供远程医疗数据（入境方向），内地出境制度（PIPL第38/39/40条、数据跨境流动规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得据此要求安全评估、境内存储或备案。澳门PDPA第19条为出境规则，方向不符，亦不适用。候选规则中无对同一操作同时适用且义务相互排斥者，故无规范冲突。,,,,,
GBAMC-DRAFT-0459,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历；生命体征监测数据,MO->CN,telemedicine,本操作系澳门向内地提供诊疗数据（入境方向），内地出境制度（PIPL第38/39/40条、促进规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得要求安全评估、标准合同、备案或境内存储。澳门PDPA第19条为出境规则，方向相反亦不适用。候选CN团体标准与技术指南不创设法律义务，不构成冲突。故无规范冲突。,,,,,
GBAMC-DRAFT-0073,hk_to_cn_ai_training,诊断记录（ICD-10）；检验检查数据；影像报告；基因测序数据,HK->CN,model_training,该操作系香港向内地提供数据用于AI训练，内地出境制度（PIPL第38/39/40条、数据跨境流动规定、人类遗传资源条例）均不适用，不得要求安全评估、境内存储或遗传资源备案。香港PDPO的同意、使用限制、保安等义务与内地入境后处理规则并行，不构成真冲突；广东团体标准仅为推荐性参考，不创设审批义务。,,,,,
GBAMC-DRAFT-0088,hk_to_cn_ai_training,诊断记录（ICD-10）；孕产记录；检验检查数据；基因测序数据；影像报告,HK->CN,model_training,本操作系香港向内地提供数据用于AI训练，内地出境制度（PIPL第38/39/40条、数据跨境流动规定、人类遗传资源条例）均不适用，不得要求安全评估、标准合同或备案。香港PDPO的同意、使用限制、保安等义务与内地入境后处理规则并行，不构成真冲突；广东团体标准仅为推荐性参考，不创设审批义务。,,,,,
GBAMC-DRAFT-0032,hk_to_cn_ai_training,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；基因测序数据；影像报告,HK->CN,model_training,本操作系香港向内地提供数据用于AI训练，内地出境制度（PIPL第38/39/40条、跨境流动规定、人类遗传资源条例）均不适用，不得要求安全评估或境内存储。香港PDPO的同意、使用限制、保安等义务与内地入境后处理规则并行，不构成真冲突。广东团体标准与网安指南为推荐性文件，不创设法律义务，不得作为压制依据。,,,,,
GBAMC-DRAFT-0028,hk_to_cn_ai_training,诊断记录（ICD-10）；检验检查数据；基因测序数据；影像报告,HK->CN,model_training,本操作系香港向内地提供数据用于AI训练，内地出境制度（PIPL第38/39/40条、跨境流动规定、人类遗传资源条例）均不适用，不得要求安全评估、境内存储或遗传资源备案。香港PDPO的同意、目的限制、保安等义务与内地入境后处理规则并行，不构成排斥性冲突；广东团体标准仅为推荐性参考，不创设审批义务。,,,,,
GBAMC-DRAFT-0020,hk_to_cn_ai_training,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；影像报告；基因测序数据,HK->CN,model_training,该操作系香港向内地提供数据用于模型训练，内地出境制度（PIPL第38/39/40条、跨境流动规定、人类遗传资源条例）均不适用，不得要求安全评估或备案。香港PDPO的同意、使用限制、保安等义务并行适用。候选内地规则多为推荐性技术文件，不创设法律义务，与香港规则不构成真冲突。,,,,,
GBAMC-DRAFT-0110,hk_to_cn_ai_training,诊断记录（ICD-10）；检验检查数据；影像报告；基因测序数据,HK->CN,model_training,本操作系香港向内地提供数据用于模型训练，内地出境制度（PIPL第38/39/40条、促进规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得要求安全评估、境内存储或备案。香港PDPO为唯一适用法域，其DPP1、DPP3、S33（未生效）等规则与内地入境规则之间不存在义务排斥，仅构成并行义务。团体标准与技术指南不创设法律义务，不构成冲突。,,,,,
GBAMC-DRAFT-0060,hk_to_cn_ai_training,诊断记录（ICD-10）；检验检查数据；影像报告；基因测序数据,HK->CN,model_training,该操作系香港向内地提供数据用于模型训练，内地出境制度（PIPL第38/39/40条、跨境流动规定、人类遗传资源条例）均不适用，不得要求安全评估、标准合同或备案。香港PDPO的同意、使用限制、保安等义务与内地入境后处理规则并行，不构成真冲突；广东团体标准仅为推荐性参考，不创设审批义务。,,,,,
GBAMC-DRAFT-0102,hk_to_cn_ai_training,内分泌疾病记录；诊断记录（ICD-10）；检验检查数据；基因测序数据；影像报告,HK->CN,model_training,本操作系香港向内地提供数据用于AI训练，内地出境制度（PIPL第38/39/40条、数据跨境流动规定、人类遗传资源条例第28条）及GBA标准合同指引均不适用，不得要求安全评估、境内存储或遗传资源备案。香港PDPO的同意、使用限制、保安等义务与内地入境后处理规则并行，不构成真冲突；广东团体标准仅为推荐性参考，不创设审批义务。,,,,,
GBAMC-DRAFT-0067,hk_to_cn_ai_training,诊断记录（ICD-10）；检验检查数据；影像报告；基因测序数据,HK->CN,model_training,本操作系香港向内地提供数据用于模型训练，内地出境制度（PIPL第38/39/40条、跨境流动规定、人类遗传资源条例）均不适用，不得要求安全评估、标准合同或遗传资源备案。香港PDPO为唯一适用法域，其DPP1/DPP3要求目的限定与订明同意，与内地无出境前置义务冲突。广东团体标准仅为推荐性参考，不创设审批义务。,,,,,
GBAMC-DRAFT-0084,hk_to_cn_ai_training,诊断记录（ICD-10）；检验检查数据；影像报告；基因测序数据,HK->CN,model_training,该操作为香港向内地提供医疗数据用于模型训练，属入境方向，内地出境制度（PIPL第38/39/40条、跨境流动规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得要求安全评估、境内存储或备案。香港PDPO各项保障资料原则适用于数据出境方，构成并行义务，与内地规则不相互排斥。,,,,,
GBAMC-DRAFT-0116,hk_to_cn_ai_training,内分泌疾病记录；诊断记录（ICD-10）；检验检查数据；影像报告；基因测序数据,HK->CN,model_training,本操作系香港向内地提供数据用于模型训练，内地出境制度（PIPL第38/39/40条、跨境流动规定、人类遗传资源条例）均不适用，不得要求安全评估、标准合同或遗传资源备案。香港PDPO为唯一适用法域，其DPP1、DPP3要求目的限定与订明同意，与AI训练用途可能冲突，需取得订明同意或去标识化。广东团体标准无法律效力，仅作分级参考。,,,,,
GBAMC-DRAFT-0075,hk_to_cn_ai_training,诊断记录（ICD-10）；检验检查数据；影像报告；基因测序数据,HK->CN,model_training,本操作系香港向内地提供数据用于模型训练，内地出境制度（PIPL第38/39/40条、促进规定、人类遗传资源条例）均不适用，不得要求安全评估或备案。香港PDPO的同意、使用限制、保安等义务与内地入境后处理规则并行，不构成真冲突；广东团体标准仅为推荐性参考，不创设审批义务。,,,,,
GBAMC-DRAFT-0042,hk_to_cn_ai_training,诊断记录（ICD-10）；孕产记录；检验检查数据；影像报告；基因测序数据,HK->CN,model_training,本操作系香港向内地提供数据用于AI训练，内地出境制度（PIPL第38/39/40条、跨境流动规定、人类遗传资源条例）均不适用，不得要求安全评估、标准合同或遗传资源备案。香港PDPO的同意、目的限制、保安等义务与内地入境后的处理规则并行，不构成真冲突；广东团体标准仅为推荐性参考，不创设审批义务。,,,,,
GBAMC-DRAFT-0046,hk_to_cn_ai_training,诊断记录（ICD-10）；检验检查数据；影像报告；基因测序数据,HK->CN,model_training,本操作系香港向内地提供数据用于模型训练，内地出境制度（PIPL第38/39/40条、跨境流动规定、人类遗传资源条例）均不适用，不得要求安全评估或备案。香港PDPO的同意、目的限制、保安等义务与内地入境后处理规则并行，不构成排斥性冲突。广东团体标准仅为推荐性参考，不创设审批义务。,,,,,
GBAMC-DRAFT-0031,hk_to_cn_ai_training,内分泌疾病记录；诊断记录（ICD-10）；检验检查数据；影像报告；基因测序数据,HK->CN,model_training,本操作系香港向内地提供数据用于AI训练，内地出境制度（PIPL第38/39/40条、跨境流动规定、人类遗传资源条例）均不适用，不得要求安全评估或备案。香港PDPO的同意、使用限制、保安义务与内地敏感个人信息保护规则并行适用，不构成排斥性冲突；广东团体标准仅为推荐性参考，不创设审批义务。,,,,,
GBAMC-DRAFT-0090,hk_to_cn_ai_training,孕产记录；诊断记录（ICD-10）；检验检查数据；影像报告；基因测序数据,HK->CN,model_training,本操作系香港向内地提供数据用于AI训练，内地出境制度（PIPL第38/39/40条、跨境流动规定、人类遗传资源条例）均不适用，不得要求安全评估或备案。香港PDPO的同意、使用限制、保安等义务与内地入境后处理规则并行，不构成真冲突；广东团体标准仅为推荐性参考，不创设审批义务。,,,,,
GBAMC-DRAFT-0063,hk_to_cn_ai_training,内分泌疾病记录；诊断记录（ICD-10）；检验检查数据；影像报告；基因测序数据,HK->CN,model_training,本操作系香港向内地提供数据用于模型训练，内地出境制度（PIPL第38/39/40条、跨境流动规定、人类遗传资源条例）均不适用，不得要求安全评估、标准合同或备案。香港PDPO为唯一适用法域，其DPP1、DPP3、DPP4及第33条未生效背景规则并行适用，不构成相互排斥的真冲突。广东团体标准与CN技术指南为推荐性文件，不创设法律义务，不得作为压制依据。,,,,,
GBAMC-DRAFT-0161,mo_to_sz_multicenter,诊断记录（ICD-10）；检验检查数据；住院病历；基因测序数据,MO->CN,clinical_trial,本操作系澳门向内地提供临床研究数据（入境），内地出境制度（PIPL第38/39/40条、促进规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得要求安全评估、标准合同、认证或遗传资源备案。澳门PDPA第19条为出境规则，方向不符，亦不适用。候选规则中广东省团体标准与网安指南均为推荐性技术文件，不创设法律义务，不构成冲突。故本情境下无规范冲突。,,,,,
GBAMC-DRAFT-0189,mo_to_sz_multicenter,诊断记录（ICD-10）；孕产记录；检验检查数据；住院病历；基因测序数据,MO->CN,clinical_trial,本操作系澳门向内地提供临床研究数据（入境方向），内地出境制度（PIPL第38/39/40条、数据跨境流动规定、GBA标准合同指引、人类遗传资源条例第28条）均不适用，不得据此要求安全评估、境内存储、单独同意或遗传资源备案。澳门PDPA第19条为一般规则，第20条明确同意为例外，二者构成一般与例外关系，非真冲突。广东团体标准无法律效力，仅作分级参考。,,,,,
GBAMC-DRAFT-0128,mo_to_sz_multicenter,诊断记录（ICD-10）；检验检查数据；住院病历；基因测序数据,MO->CN,clinical_trial,本操作系澳门向内地提供临床研究数据（入境），内地出境制度（PIPL第38/39/40条、数据跨境流动规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得要求安全评估、标准合同、备案或境内存储。澳门PDPA第19条为一般规则，第20条为明确同意等例外，二者属一般与例外关系，非真冲突。广东团体标准无法律效力，不创设审批义务。,,,,,
GBAMC-DRAFT-0173,mo_to_sz_multicenter,诊断记录（ICD-10）；检验检查数据；住院病历；基因测序数据,MO->CN,clinical_trial,本操作系澳门向内地提供临床研究数据（含基因测序），内地出境制度及人类遗传资源对外提供规则均不适用；澳门PDPA第19条为出境规则，亦不适用于入境内地。故无跨法域义务排斥，仅澳门侧转移合规与内地侧接收合规并行。,,,,,
GBAMC-DRAFT-0131,mo_to_sz_multicenter,诊断记录（ICD-10）；检验检查数据；住院病历；基因测序数据,MO->CN,clinical_trial,本操作系澳门向内地提供临床研究数据（入境方向），内地出境制度及人类遗传资源对外提供规则均不适用。澳门PDPA第19条要求接收地具备适当保护水平，内地未获澳门适当性认定，须依第19条第2款个案决定或第20条明确同意等例外。广东团体标准仅作分级参考，不创设审批义务。,,,,,
GBAMC-DRAFT-0151,mo_to_sz_multicenter,诊断记录（ICD-10）；孕产记录；检验检查数据；住院病历；基因测序数据,MO->CN,clinical_trial,本操作由澳门向内地提供临床研究数据，内地出境制度及人类遗传资源对外提供规则均不适用；澳门PDPA第19条为一般规则，第20条明确同意为例外，二者构成一般与例外关系而非冲突。广东团体标准与CN指南为推荐性文件，不创设法律义务，不压制其他规则。整体无真冲突，仅需并行履行澳门转移条件与内地接收端合规义务。,,,,,
GBAMC-DRAFT-0218,mo_to_sz_multicenter,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；住院病历；基因测序数据,MO->CN,clinical_trial,本操作系澳门向内地提供数据（入境），内地出境制度（PIPL第38/39/40条、数据跨境流动规定、GBA标准合同指引、人类遗传资源条例第28条）均不适用，不得据此要求安全评估、标准合同、备案或境内存储。澳门PDPA第19条为一般规则，第20条为明确同意等例外，二者属一般与例外关系，可并存适用。广东团体标准仅为推荐性参考，不创设法律义务，不构成冲突。,,,,,
GBAMC-DRAFT-0184,mo_to_sz_multicenter,诊断记录（ICD-10）；检验检查数据；住院病历；基因测序数据,MO->CN,clinical_trial,本操作系澳门向内地提供临床研究数据（入境），内地出境制度及人类遗传资源对外提供规则均不适用；澳门PDPA第19条要求目的地具备适当保护水平，内地已具备，故无真冲突。广东团体标准仅作分级参考，不创设审批义务。,,,,,
GBAMC-DRAFT-0142,mo_to_sz_multicenter,诊断记录（ICD-10）；检验检查数据；住院病历；基因测序数据,MO->CN,clinical_trial,本操作系澳门向内地提供临床研究数据（入境），内地出境制度（PIPL第38/39/40条、促进规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得要求安全评估、标准合同、认证或人类遗传资源备案。澳门PDPA第19条为出境规则，方向相反亦不适用。广东团体标准无法律效力，不得作为审批或压制依据。故无规范冲突。,,,,,
GBAMC-DRAFT-0172,mo_to_sz_multicenter,诊断记录（ICD-10）；检验检查数据；住院病历；基因测序数据,MO->CN,clinical_trial,本操作系澳门向内地提供临床研究数据（入境方向），内地出境制度（PIPL第38/39/40条、促进规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得要求安全评估、标准合同、认证或遗传资源备案。澳门PDPA第19条要求接收地具备适当保护水平，内地有PIPL等法律体系，原则上可满足；但澳门第19条第2款/第20条与内地入境后处理规则之间不存在义务排斥。广东省团体标准仅为推荐性技术文件，不创设法律义务，不得作为审批或压制依据。整体不构成真冲突，属并行义务。,,,,,
GBAMC-DRAFT-0122,mo_to_sz_multicenter,诊断记录（ICD-10）；孕产记录；检验检查数据；住院病历；基因测序数据,MO->CN,clinical_trial,本操作系澳门向内地提供数据，内地出境制度（PIPL第38/39/40条、数据跨境流动规定、人类遗传资源条例）均不适用，不得要求安全评估、标准合同或遗传资源备案。澳门PDPA第19条要求接收地具备适当保护水平，内地有PIPL等法律体系，通常可认定具备；若未认定则须依第20条取得明确同意并通知澳门当局。广东团体标准仅为推荐性参考，不创设审批义务。整体无真冲突，属并行义务。,,,,,
GBAMC-DRAFT-0208,mo_to_sz_multicenter,诊断记录（ICD-10）；检验检查数据；住院病历；基因测序数据,MO->CN,clinical_trial,本操作系澳门向内地提供临床研究数据（入境），内地出境制度（PIPL第38/39/40条、促进规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得据此要求安全评估、标准合同或备案。澳门PDPA第19条为出境规则，方向相反亦不适用。候选规则中广东分级标准与CN指南均为推荐性文件，不创设义务，与澳门法不构成真冲突。,,,,,
GBAMC-DRAFT-0220,mo_to_sz_multicenter,诊断记录（ICD-10）；检验检查数据；基因测序数据；住院病历,MO->CN,clinical_trial,本操作系澳门向内地提供临床研究数据（入境方向），内地出境制度（PIPL第38/39/40条、促进规定、GBA标准合同指引、人类遗传资源条例）均不适用，不得要求安全评估、标准合同、认证或遗传资源备案。澳门PDPA第19条为一般规则，第20条为明确同意等例外，二者属一般与例外关系，非真冲突。广东团体标准无法律效力，不创设审批义务。,,,,,
