pair_id,左规则ID,左规则文本,右规则ID,右规则文本,出现查询数,涉及方向,冲突判定(无冲突/场景依赖/稳定冲突),处置结论(并存/待定/左压制右/右压制左),法理依据(lex_specialis/lex_superior/lex_posterior/contextual/none),备注
G063,CN_CSSPG_001,血型信息若未与疾病或医疗就诊相关联，不属于敏感个人信息范畴。,CN_SPI_001,医疗健康信息（如住院病历）被定义为敏感个人信息，泄露或非法使用易危害人身权益。,5,HK->CN:4; MO->CN:1,,,,
G064,CN_GBA_HK_GUIDE_Art4,按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》订立标准合同跨境提供个人信息的，个人信息处理者跨境提供前应当按属地法律要求告知个人信息主体或者取得同意，且不得向粤港澳大湾区以外的组织、个人提供。,HK_PDPO_DPP1_002,保障资料第1原则（收集目的及方式）：个人资料不得为以下目的收集——(a)并非直接与将会使用该资料的资料使用者所执行的职能或活动有关的合法目的；或(b)就有关目的而言属超乎适度。收集该资料的方式须合法及公平。,5,CN->HK:5,,,,
G065,CN_GBA_HK_GUIDE_Art5,个人信息处理者按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》订立标准合同跨境提供个人信息前，应当开展个人信息保护影响评估，评估处理目的与方式的合法性正当性必要性、对个人信息主体权益的影响及安全风险、接收方履行义务的管理和技术措施能力等。,CN_HGR_RULES_Art36_001,将人类遗传资源信息向外国组织、个人及其设立或者实际控制的机构提供或者开放使用的，应当在对外提供或开放使用前，依照《人类遗传资源管理条例》第二十八条的规定，履行备案并提交信息备份等程序；属于可能影响公众健康、国家安全和社会公共利益情形的，还应当通过安全审查。,5,CN->HK:5,,,,
G066,CN_GBA_HK_GUIDE_Art5,个人信息处理者按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》订立标准合同跨境提供个人信息前，应当开展个人信息保护影响评估，评估处理目的与方式的合法性正当性必要性、对个人信息主体权益的影响及安全风险、接收方履行义务的管理和技术措施能力等。,HK_PDPO_DPP1_002,保障资料第1原则（收集目的及方式）：个人资料不得为以下目的收集——(a)并非直接与将会使用该资料的资料使用者所执行的职能或活动有关的合法目的；或(b)就有关目的而言属超乎适度。收集该资料的方式须合法及公平。,5,CN->HK:5,,,,
G067,CN_GBA_HK_GUIDE_Art8,个人信息处理者及接收方应在《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同》生效之日起10个工作日内，按照属地向广东省互联网信息办公室或者香港特别行政区政府资讯科技总监办公室进行标准合同备案，提交法定代表人身份证件影印件、承诺书与标准合同。,HK_PDPO_S33_NOTE,背景规则（供冲突分析使用）：《个人资料（私隐）条例》第33条就“禁止在指明情况以外将个人资料移转至香港以外地方”作出规定，但该条至今尚未生效（政府公报多次确认）；跨境移转仍受条例其他条文（如保障资料原则）规管，公署亦以指引建议资料使用者采取合约保障等措施。,5,CN->HK:5,,,,
G068,CN_GDHMD_002,可穿戴设备采集的实时心率、血氧数据属4级数据，跨境回传需个人信息保护影响评估和加密。,HK_PDPO_DPP1_003,保障资料第1原则（告知）：资料使用者收集个人资料时，须采取一切切实可行的步骤，告知资料当事人其资料是否会被用作直接促销（如适用）、该资料将会用于何种目的、资料可能移转予哪类人士等事项。,5,HK->CN:5,,,,
G069,CN_GDHMD_008,检验检查报告（含定量结果、影像）属3级，跨境远程会诊需假名化ID和水印处理。,CN_GDHMD_023,护理记录中的生命体征属3级，跨境远程监护需DTLS 1.3加密传输。,5,MO->CN:5,,,,
G070,CN_GDHMD_023,护理记录中的生命体征属3级，跨境远程监护需DTLS 1.3加密传输。,HK_PDPO_DPP1_002,保障资料第1原则（收集目的及方式）：个人资料不得为以下目的收集——(a)并非直接与将会使用该资料的资料使用者所执行的职能或活动有关的合法目的；或(b)就有关目的而言属超乎适度。收集该资料的方式须合法及公平。,5,HK->CN:5,,,,
G071,CN_GDHMD_023,护理记录中的生命体征属3级，跨境远程监护需DTLS 1.3加密传输。,MO_PDPA_Art19_002,如接收转移资料当地的法律体系未能确保适当保护程度，则是否允许转移由澳门个人资料保护当局依个案决定（第十九条第二款），并须符合本法律规定的条件。,5,MO->CN:5,,,,
G072,CN_SPI_015,睡眠监测报告作为医疗健康信息中的健康状况信息，属于敏感个人信息。,MO_PDPA_Art19_001,个人资料转移至澳门特区以外（原则）：仅在遵守本法律规定，且接收转移资料当地的法律体系能确保适当保护程度的情况下，方可进行转移。,5,MO->CN:5,,,,
G073,CN_GDHMD_008,检验检查报告（含定量结果、影像）属3级，跨境远程会诊需假名化ID和水印处理。,CN_OUTBOUND_Art5_004,数据处理者向境外提供个人信息，属于关键信息基础设施运营者以外的数据处理者自当年1月1日起累计向境外提供不满10万人个人信息（不含敏感个人信息）的，免予申报数据出境安全评估、订立个人信息出境标准合同、通过个人信息保护认证；向境外提供的个人信息不包括重要数据。,4,CN->HK:4,,,,
G074,CN_SPI_128,健康管理档案中的基础身份信息未被列为敏感个人信息，但若包含医疗健康核心内容则需按敏感信息处理。,HK_PDPO_S33_NOTE,背景规则（供冲突分析使用）：《个人资料（私隐）条例》第33条就“禁止在指明情况以外将个人资料移转至香港以外地方”作出规定，但该条至今尚未生效（政府公报多次确认）；跨境移转仍受条例其他条文（如保障资料原则）规管，公署亦以指引建议资料使用者采取合约保障等措施。,4,HK->CN:4,,,,
G075,CN_SPI_008,用药记录作为医疗健康信息中的就诊记录，属于敏感个人信息，需遵循保护规则。,HK_PDPO_DPP1_002,保障资料第1原则（收集目的及方式）：个人资料不得为以下目的收集——(a)并非直接与将会使用该资料的资料使用者所执行的职能或活动有关的合法目的；或(b)就有关目的而言属超乎适度。收集该资料的方式须合法及公平。,4,CN->HK:4,,,,
G076,CN_PIPL_Art40_001,关键信息基础设施运营者和处理个人信息达到国家网信部门规定数量的个人信息处理者，应当将在中华人民共和国境内收集和产生的个人信息存储在境内。确需向境外提供的，应当通过国家网信部门组织的安全评估；法律、行政法规和国家网信部门规定禁止提供个人信息的，不得提供。,HK_PDPO_S33_NOTE,背景规则（供冲突分析使用）：《个人资料（私隐）条例》第33条就“禁止在指明情况以外将个人资料移转至香港以外地方”作出规定，但该条至今尚未生效（政府公报多次确认）；跨境移转仍受条例其他条文（如保障资料原则）规管，公署亦以指引建议资料使用者采取合约保障等措施。,4,CN->HK:4,,,,
G077,HK_PDPO_DPP3_001,保障资料第3原则（使用限制）：除非获得资料当事人订明的同意，否则个人资料不得用于下列用途以外的任何用途——(a)在收集该资料时拟使用的目的；或(b)与上述目的直接有关的用途。,HK_PDPO_S33_NOTE,背景规则（供冲突分析使用）：《个人资料（私隐）条例》第33条就“禁止在指明情况以外将个人资料移转至香港以外地方”作出规定，但该条至今尚未生效（政府公报多次确认）；跨境移转仍受条例其他条文（如保障资料原则）规管，公署亦以指引建议资料使用者采取合约保障等措施。,4,HK->CN:4,,,,
G078,CN_GBA_HK_GUIDE_Art5,个人信息处理者按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》订立标准合同跨境提供个人信息前，应当开展个人信息保护影响评估，评估处理目的与方式的合法性正当性必要性、对个人信息主体权益的影响及安全风险、接收方履行义务的管理和技术措施能力等。,CN_GBA_HK_GUIDE_Art8,个人信息处理者及接收方应在《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同》生效之日起10个工作日内，按照属地向广东省互联网信息办公室或者香港特别行政区政府资讯科技总监办公室进行标准合同备案，提交法定代表人身份证件影印件、承诺书与标准合同。,3,CN->HK:3,,,,
G079,CN_GBA_HK_GUIDE_Art5,个人信息处理者按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》订立标准合同跨境提供个人信息前，应当开展个人信息保护影响评估，评估处理目的与方式的合法性正当性必要性、对个人信息主体权益的影响及安全风险、接收方履行义务的管理和技术措施能力等。,CN_PIPL_Art39_001,个人信息处理者向境外提供个人信息的，应当向个人告知境外接收方的名称或者姓名、联系方式、处理目的、处理方式、个人信息的种类以及个人向境外接收方行使本法规定权利的方式和程序等事项，并取得个人的单独同意。,3,CN->HK:3,,,,
G080,CN_GDHMD_002,可穿戴设备采集的实时心率、血氧数据属4级数据，跨境回传需个人信息保护影响评估和加密。,HK_PDPO_S33_NOTE,背景规则（供冲突分析使用）：《个人资料（私隐）条例》第33条就“禁止在指明情况以外将个人资料移转至香港以外地方”作出规定，但该条至今尚未生效（政府公报多次确认）；跨境移转仍受条例其他条文（如保障资料原则）规管，公署亦以指引建议资料使用者采取合约保障等措施。,3,HK->CN:3,,,,
G081,CN_GDHMD_008,检验检查报告（含定量结果、影像）属3级，跨境远程会诊需假名化ID和水印处理。,CN_OUTBOUND_Art8_001,关键信息基础设施运营者以外的数据处理者自当年1月1日起累计向境外提供10万人以上、不满100万人个人信息（不含敏感个人信息）或者不满1万人敏感个人信息的，应当依法与境外接收方订立个人信息出境标准合同或者通过个人信息保护认证。,3,CN->HK:3,,,,
G082,CN_GDHMD_023,护理记录中的生命体征属3级，跨境远程监护需DTLS 1.3加密传输。,HK_PDPO_S33_NOTE,背景规则（供冲突分析使用）：《个人资料（私隐）条例》第33条就“禁止在指明情况以外将个人资料移转至香港以外地方”作出规定，但该条至今尚未生效（政府公报多次确认）；跨境移转仍受条例其他条文（如保障资料原则）规管，公署亦以指引建议资料使用者采取合约保障等措施。,3,HK->CN:3,,,,
G083,CN_HGR_RULES_Art36_001,将人类遗传资源信息向外国组织、个人及其设立或者实际控制的机构提供或者开放使用的，应当在对外提供或开放使用前，依照《人类遗传资源管理条例》第二十八条的规定，履行备案并提交信息备份等程序；属于可能影响公众健康、国家安全和社会公共利益情形的，还应当通过安全审查。,CN_OUTBOUND_Art7_002,关键信息基础设施运营者以外的数据处理者向境外提供重要数据，或者自当年1月1日起累计向境外提供100万人以上个人信息（不含敏感个人信息）或者1万人以上敏感个人信息的，应当通过所在地省级网信部门向国家网信部门申报数据出境安全评估。,3,CN->HK:3,,,,
G084,CN_SPI_107,挂号记录主要包含身份及预约信息，未被明确列为敏感个人信息。,HK_PDPO_S33_NOTE,背景规则（供冲突分析使用）：《个人资料（私隐）条例》第33条就“禁止在指明情况以外将个人资料移转至香港以外地方”作出规定，但该条至今尚未生效（政府公报多次确认）；跨境移转仍受条例其他条文（如保障资料原则）规管，公署亦以指引建议资料使用者采取合约保障等措施。,3,HK->CN:3,,,,
G085,CN_SPI_015,睡眠监测报告作为医疗健康信息中的健康状况信息，属于敏感个人信息。,MO_PDPA_Art19_002,如接收转移资料当地的法律体系未能确保适当保护程度，则是否允许转移由澳门个人资料保护当局依个案决定（第十九条第二款），并须符合本法律规定的条件。,3,MO->CN:3,,,,
G086,MO_PDPA_Art19_001,个人资料转移至澳门特区以外（原则）：仅在遵守本法律规定，且接收转移资料当地的法律体系能确保适当保护程度的情况下，方可进行转移。,MO_PDPA_Art19_002,如接收转移资料当地的法律体系未能确保适当保护程度，则是否允许转移由澳门个人资料保护当局依个案决定（第十九条第二款），并须符合本法律规定的条件。,3,MO->CN:3,,,,
G087,CN_GBA_HK_GUIDE_Art8,个人信息处理者及接收方应在《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同》生效之日起10个工作日内，按照属地向广东省互联网信息办公室或者香港特别行政区政府资讯科技总监办公室进行标准合同备案，提交法定代表人身份证件影印件、承诺书与标准合同。,CN_OUTBOUND_Art7_002,关键信息基础设施运营者以外的数据处理者向境外提供重要数据，或者自当年1月1日起累计向境外提供100万人以上个人信息（不含敏感个人信息）或者1万人以上敏感个人信息的，应当通过所在地省级网信部门向国家网信部门申报数据出境安全评估。,2,CN->HK:2,,,,
G088,CN_GBA_HK_GUIDE_Art8,个人信息处理者及接收方应在《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同》生效之日起10个工作日内，按照属地向广东省互联网信息办公室或者香港特别行政区政府资讯科技总监办公室进行标准合同备案，提交法定代表人身份证件影印件、承诺书与标准合同。,HK_PDPO_DPP1_003,保障资料第1原则（告知）：资料使用者收集个人资料时，须采取一切切实可行的步骤，告知资料当事人其资料是否会被用作直接促销（如适用）、该资料将会用于何种目的、资料可能移转予哪类人士等事项。,2,CN->HK:2,,,,
G089,CN_GDHMD_001,基因测序数据（如全基因组、转录组）属于4级个人健康状况数据，跨境共享需国家审批和匿名化处理。,CN_SPI_017,膳食建议记录若与疾病治疗或健康干预相关，属于敏感个人信息，受保护规则约束。,2,HK->CN:2,,,,
G090,CN_GDHMD_001,基因测序数据（如全基因组、转录组）属于4级个人健康状况数据，跨境共享需国家审批和匿名化处理。,MO_PDPA_Art20_001,转移的排除适用（例外）：当资料当事人明确同意转移，或转移符合法定情形（如为履行合同、保障资料当事人重大利益、司法程序等）时，经对公共当局作出通知后，可向未能确保适当保护程度的地方转移。,2,MO->CN:2,,,,
G091,CN_GDHMD_002,可穿戴设备采集的实时心率、血氧数据属4级数据，跨境回传需个人信息保护影响评估和加密。,CN_SPI_128,健康管理档案中的基础身份信息未被列为敏感个人信息，但若包含医疗健康核心内容则需按敏感信息处理。,2,HK->CN:2,,,,
G092,CN_HGR_Art28_001,将人类遗传资源信息向外国组织、个人及其设立或者实际控制的机构提供或者开放使用的，应当向国务院科学技术行政部门备案并提交信息备份；可能影响我国公众健康、国家安全和社会公共利益的，应当通过国务院科学技术行政部门组织的安全审查。,CN_OUTBOUND_Art7_002,关键信息基础设施运营者以外的数据处理者向境外提供重要数据，或者自当年1月1日起累计向境外提供100万人以上个人信息（不含敏感个人信息）或者1万人以上敏感个人信息的，应当通过所在地省级网信部门向国家网信部门申报数据出境安全评估。,2,CN->HK:2,,,,
G093,CN_SPI_015,睡眠监测报告作为医疗健康信息中的健康状况信息，属于敏感个人信息。,MO_PDPA_Art20_001,转移的排除适用（例外）：当资料当事人明确同意转移，或转移符合法定情形（如为履行合同、保障资料当事人重大利益、司法程序等）时，经对公共当局作出通知后，可向未能确保适当保护程度的地方转移。,2,MO->CN:2,,,,
G094,CN_SPI_017,膳食建议记录若与疾病治疗或健康干预相关，属于敏感个人信息，受保护规则约束。,HK_PDPO_DPP1_002,保障资料第1原则（收集目的及方式）：个人资料不得为以下目的收集——(a)并非直接与将会使用该资料的资料使用者所执行的职能或活动有关的合法目的；或(b)就有关目的而言属超乎适度。收集该资料的方式须合法及公平。,2,HK->CN:2,,,,
G095,CN_SPI_017,膳食建议记录若与疾病治疗或健康干预相关，属于敏感个人信息，受保护规则约束。,HK_PDPO_DPP1_003,保障资料第1原则（告知）：资料使用者收集个人资料时，须采取一切切实可行的步骤，告知资料当事人其资料是否会被用作直接促销（如适用）、该资料将会用于何种目的、资料可能移转予哪类人士等事项。,2,HK->CN:2,,,,
G096,CN_CSSPG_001,血型信息若未与疾病或医疗就诊相关联，不属于敏感个人信息范畴。,CN_SPI_015,睡眠监测报告作为医疗健康信息中的健康状况信息，属于敏感个人信息。,1,MO->CN:1,,,,
G097,CN_GBA_HK_GUIDE_Art4,按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》订立标准合同跨境提供个人信息的，个人信息处理者跨境提供前应当按属地法律要求告知个人信息主体或者取得同意，且不得向粤港澳大湾区以外的组织、个人提供。,CN_PIPL_Art38_001,个人信息处理者因业务等需要，确需向中华人民共和国境外提供个人信息的，应当具备下列条件之一：（一）依照本法第四十条的规定通过国家网信部门组织的安全评估；（二）按照国家网信部门的规定经专业机构进行个人信息保护认证；（三）按照国家网信部门制定的标准合同与境外接收方订立合同，约定双方的权利和义务；（四）法律、行政法规或者国家网信部门规定的其他条件。,1,CN->HK:1,,,,
G098,CN_GBA_HK_GUIDE_Art4,按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》订立标准合同跨境提供个人信息的，个人信息处理者跨境提供前应当按属地法律要求告知个人信息主体或者取得同意，且不得向粤港澳大湾区以外的组织、个人提供。,HK_PDPO_DPP1_003,保障资料第1原则（告知）：资料使用者收集个人资料时，须采取一切切实可行的步骤，告知资料当事人其资料是否会被用作直接促销（如适用）、该资料将会用于何种目的、资料可能移转予哪类人士等事项。,1,CN->HK:1,,,,
G099,CN_GBA_HK_GUIDE_Art5,个人信息处理者按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》订立标准合同跨境提供个人信息前，应当开展个人信息保护影响评估，评估处理目的与方式的合法性正当性必要性、对个人信息主体权益的影响及安全风险、接收方履行义务的管理和技术措施能力等。,CN_SPI_008,用药记录作为医疗健康信息中的就诊记录，属于敏感个人信息，需遵循保护规则。,1,CN->HK:1,,,,
G100,CN_GBA_HK_GUIDE_Art5,个人信息处理者按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》订立标准合同跨境提供个人信息前，应当开展个人信息保护影响评估，评估处理目的与方式的合法性正当性必要性、对个人信息主体权益的影响及安全风险、接收方履行义务的管理和技术措施能力等。,HK_PDPO_DPP1_003,保障资料第1原则（告知）：资料使用者收集个人资料时，须采取一切切实可行的步骤，告知资料当事人其资料是否会被用作直接促销（如适用）、该资料将会用于何种目的、资料可能移转予哪类人士等事项。,1,CN->HK:1,,,,
G101,CN_GBA_HK_GUIDE_Art5,个人信息处理者按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》订立标准合同跨境提供个人信息前，应当开展个人信息保护影响评估，评估处理目的与方式的合法性正当性必要性、对个人信息主体权益的影响及安全风险、接收方履行义务的管理和技术措施能力等。,HK_PDPO_DPP3_001,保障资料第3原则（使用限制）：除非获得资料当事人订明的同意，否则个人资料不得用于下列用途以外的任何用途——(a)在收集该资料时拟使用的目的；或(b)与上述目的直接有关的用途。,1,CN->HK:1,,,,
G102,CN_GBA_HK_GUIDE_Art8,个人信息处理者及接收方应在《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同》生效之日起10个工作日内，按照属地向广东省互联网信息办公室或者香港特别行政区政府资讯科技总监办公室进行标准合同备案，提交法定代表人身份证件影印件、承诺书与标准合同。,CN_HGR_RULES_Art36_001,将人类遗传资源信息向外国组织、个人及其设立或者实际控制的机构提供或者开放使用的，应当在对外提供或开放使用前，依照《人类遗传资源管理条例》第二十八条的规定，履行备案并提交信息备份等程序；属于可能影响公众健康、国家安全和社会公共利益情形的，还应当通过安全审查。,1,CN->HK:1,,,,
G103,CN_GBA_HK_GUIDE_Art8,个人信息处理者及接收方应在《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同》生效之日起10个工作日内，按照属地向广东省互联网信息办公室或者香港特别行政区政府资讯科技总监办公室进行标准合同备案，提交法定代表人身份证件影印件、承诺书与标准合同。,CN_PIPL_Art38_001,个人信息处理者因业务等需要，确需向中华人民共和国境外提供个人信息的，应当具备下列条件之一：（一）依照本法第四十条的规定通过国家网信部门组织的安全评估；（二）按照国家网信部门的规定经专业机构进行个人信息保护认证；（三）按照国家网信部门制定的标准合同与境外接收方订立合同，约定双方的权利和义务；（四）法律、行政法规或者国家网信部门规定的其他条件。,1,CN->HK:1,,,,
G104,CN_GBA_HK_GUIDE_Art8,个人信息处理者及接收方应在《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同》生效之日起10个工作日内，按照属地向广东省互联网信息办公室或者香港特别行政区政府资讯科技总监办公室进行标准合同备案，提交法定代表人身份证件影印件、承诺书与标准合同。,HK_PDPO_DPP1_002,保障资料第1原则（收集目的及方式）：个人资料不得为以下目的收集——(a)并非直接与将会使用该资料的资料使用者所执行的职能或活动有关的合法目的；或(b)就有关目的而言属超乎适度。收集该资料的方式须合法及公平。,1,CN->HK:1,,,,
G105,CN_GBA_HK_GUIDE_Art8,个人信息处理者及接收方应在《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同》生效之日起10个工作日内，按照属地向广东省互联网信息办公室或者香港特别行政区政府资讯科技总监办公室进行标准合同备案，提交法定代表人身份证件影印件、承诺书与标准合同。,HK_PDPO_DPP3_001,保障资料第3原则（使用限制）：除非获得资料当事人订明的同意，否则个人资料不得用于下列用途以外的任何用途——(a)在收集该资料时拟使用的目的；或(b)与上述目的直接有关的用途。,1,CN->HK:1,,,,
G106,CN_GDHMD_001,基因测序数据（如全基因组、转录组）属于4级个人健康状况数据，跨境共享需国家审批和匿名化处理。,CN_SPI_107,挂号记录主要包含身份及预约信息，未被明确列为敏感个人信息。,1,HK->CN:1,,,,
G107,CN_GDHMD_002,可穿戴设备采集的实时心率、血氧数据属4级数据，跨境回传需个人信息保护影响评估和加密。,CN_GDHMD_023,护理记录中的生命体征属3级，跨境远程监护需DTLS 1.3加密传输。,1,HK->CN:1,,,,
G108,CN_GDHMD_002,可穿戴设备采集的实时心率、血氧数据属4级数据，跨境回传需个人信息保护影响评估和加密。,CN_SPI_017,膳食建议记录若与疾病治疗或健康干预相关，属于敏感个人信息，受保护规则约束。,1,HK->CN:1,,,,
G109,CN_GDHMD_003,医保编号、保险金额、理赔记录属4级数据，跨境保险业务需单独同意和Token化处理。,MO_PDPA_Art20_001,转移的排除适用（例外）：当资料当事人明确同意转移，或转移符合法定情形（如为履行合同、保障资料当事人重大利益、司法程序等）时，经对公共当局作出通知后，可向未能确保适当保护程度的地方转移。,1,MO->CN:1,,,,
G110,CN_GDHMD_008,检验检查报告（含定量结果、影像）属3级，跨境远程会诊需假名化ID和水印处理。,CN_OUTBOUND_Art7_002,关键信息基础设施运营者以外的数据处理者向境外提供重要数据，或者自当年1月1日起累计向境外提供100万人以上个人信息（不含敏感个人信息）或者1万人以上敏感个人信息的，应当通过所在地省级网信部门向国家网信部门申报数据出境安全评估。,1,CN->HK:1,,,,
G111,CN_GDHMD_008,检验检查报告（含定量结果、影像）属3级，跨境远程会诊需假名化ID和水印处理。,CN_SPI_015,睡眠监测报告作为医疗健康信息中的健康状况信息，属于敏感个人信息。,1,MO->CN:1,,,,
G112,CN_GDHMD_008,检验检查报告（含定量结果、影像）属3级，跨境远程会诊需假名化ID和水印处理。,CN_SPI_017,膳食建议记录若与疾病治疗或健康干预相关，属于敏感个人信息，受保护规则约束。,1,HK->CN:1,,,,
G113,CN_GDHMD_020,住院号、门诊号属4级，跨境科研数据库需SHA-256哈希化处理。,CN_SPI_001,医疗健康信息（如住院病历）被定义为敏感个人信息，泄露或非法使用易危害人身权益。,1,MO->CN:1,,,,
G114,CN_GDHMD_023,护理记录中的生命体征属3级，跨境远程监护需DTLS 1.3加密传输。,CN_SPI_128,健康管理档案中的基础身份信息未被列为敏感个人信息，但若包含医疗健康核心内容则需按敏感信息处理。,1,HK->CN:1,,,,
G115,CN_GDHMD_023,护理记录中的生命体征属3级，跨境远程监护需DTLS 1.3加密传输。,CN_SPI_015,睡眠监测报告作为医疗健康信息中的健康状况信息，属于敏感个人信息。,1,MO->CN:1,,,,
G116,CN_HGR_Art28_001,将人类遗传资源信息向外国组织、个人及其设立或者实际控制的机构提供或者开放使用的，应当向国务院科学技术行政部门备案并提交信息备份；可能影响我国公众健康、国家安全和社会公共利益的，应当通过国务院科学技术行政部门组织的安全审查。,CN_OUTBOUND_Art8_001,关键信息基础设施运营者以外的数据处理者自当年1月1日起累计向境外提供10万人以上、不满100万人个人信息（不含敏感个人信息）或者不满1万人敏感个人信息的，应当依法与境外接收方订立个人信息出境标准合同或者通过个人信息保护认证。,1,CN->HK:1,,,,
G117,CN_HGR_RULES_Art36_001,将人类遗传资源信息向外国组织、个人及其设立或者实际控制的机构提供或者开放使用的，应当在对外提供或开放使用前，依照《人类遗传资源管理条例》第二十八条的规定，履行备案并提交信息备份等程序；属于可能影响公众健康、国家安全和社会公共利益情形的，还应当通过安全审查。,CN_OUTBOUND_Art8_001,关键信息基础设施运营者以外的数据处理者自当年1月1日起累计向境外提供10万人以上、不满100万人个人信息（不含敏感个人信息）或者不满1万人敏感个人信息的，应当依法与境外接收方订立个人信息出境标准合同或者通过个人信息保护认证。,1,CN->HK:1,,,,
G118,CN_HGR_RULES_Art36_001,将人类遗传资源信息向外国组织、个人及其设立或者实际控制的机构提供或者开放使用的，应当在对外提供或开放使用前，依照《人类遗传资源管理条例》第二十八条的规定，履行备案并提交信息备份等程序；属于可能影响公众健康、国家安全和社会公共利益情形的，还应当通过安全审查。,CN_PIPL_Art38_001,个人信息处理者因业务等需要，确需向中华人民共和国境外提供个人信息的，应当具备下列条件之一：（一）依照本法第四十条的规定通过国家网信部门组织的安全评估；（二）按照国家网信部门的规定经专业机构进行个人信息保护认证；（三）按照国家网信部门制定的标准合同与境外接收方订立合同，约定双方的权利和义务；（四）法律、行政法规或者国家网信部门规定的其他条件。,1,CN->HK:1,,,,
G119,CN_OUTBOUND_Art5_004,数据处理者向境外提供个人信息，属于关键信息基础设施运营者以外的数据处理者自当年1月1日起累计向境外提供不满10万人个人信息（不含敏感个人信息）的，免予申报数据出境安全评估、订立个人信息出境标准合同、通过个人信息保护认证；向境外提供的个人信息不包括重要数据。,CN_OUTBOUND_Art7_002,关键信息基础设施运营者以外的数据处理者向境外提供重要数据，或者自当年1月1日起累计向境外提供100万人以上个人信息（不含敏感个人信息）或者1万人以上敏感个人信息的，应当通过所在地省级网信部门向国家网信部门申报数据出境安全评估。,1,CN->HK:1,,,,
G120,CN_SPI_107,挂号记录主要包含身份及预约信息，未被明确列为敏感个人信息。,CN_SPI_001,医疗健康信息（如住院病历）被定义为敏感个人信息，泄露或非法使用易危害人身权益。,1,HK->CN:1,,,,
G121,CN_SPI_107,挂号记录主要包含身份及预约信息，未被明确列为敏感个人信息。,MO_PDPA_Art20_001,转移的排除适用（例外）：当资料当事人明确同意转移，或转移符合法定情形（如为履行合同、保障资料当事人重大利益、司法程序等）时，经对公共当局作出通知后，可向未能确保适当保护程度的地方转移。,1,MO->CN:1,,,,
G122,CN_SPI_128,健康管理档案中的基础身份信息未被列为敏感个人信息，但若包含医疗健康核心内容则需按敏感信息处理。,CN_SPI_001,医疗健康信息（如住院病历）被定义为敏感个人信息，泄露或非法使用易危害人身权益。,1,HK->CN:1,,,,
G123,CN_SPI_128,健康管理档案中的基础身份信息未被列为敏感个人信息，但若包含医疗健康核心内容则需按敏感信息处理。,MO_PDPA_Art19_002,如接收转移资料当地的法律体系未能确保适当保护程度，则是否允许转移由澳门个人资料保护当局依个案决定（第十九条第二款），并须符合本法律规定的条件。,1,MO->CN:1,,,,
G124,CN_SPI_011,心理健康评估记录作为医疗健康信息，属于敏感个人信息，泄露易侵害人格尊严。,HK_PDPO_DPP3_001,保障资料第3原则（使用限制）：除非获得资料当事人订明的同意，否则个人资料不得用于下列用途以外的任何用途——(a)在收集该资料时拟使用的目的；或(b)与上述目的直接有关的用途。,1,HK->CN:1,,,,
G125,CN_SPI_017,膳食建议记录若与疾病治疗或健康干预相关，属于敏感个人信息，受保护规则约束。,MO_PDPA_Art19_001,个人资料转移至澳门特区以外（原则）：仅在遵守本法律规定，且接收转移资料当地的法律体系能确保适当保护程度的情况下，方可进行转移。,1,MO->CN:1,,,,
G126,HK_PDPO_DPP1_002,保障资料第1原则（收集目的及方式）：个人资料不得为以下目的收集——(a)并非直接与将会使用该资料的资料使用者所执行的职能或活动有关的合法目的；或(b)就有关目的而言属超乎适度。收集该资料的方式须合法及公平。,HK_PDPO_DPP1_003,保障资料第1原则（告知）：资料使用者收集个人资料时，须采取一切切实可行的步骤，告知资料当事人其资料是否会被用作直接促销（如适用）、该资料将会用于何种目的、资料可能移转予哪类人士等事项。,1,CN->HK:1,,,,
G127,HK_PDPO_DPP1_002,保障资料第1原则（收集目的及方式）：个人资料不得为以下目的收集——(a)并非直接与将会使用该资料的资料使用者所执行的职能或活动有关的合法目的；或(b)就有关目的而言属超乎适度。收集该资料的方式须合法及公平。,HK_PDPO_S33_NOTE,背景规则（供冲突分析使用）：《个人资料（私隐）条例》第33条就“禁止在指明情况以外将个人资料移转至香港以外地方”作出规定，但该条至今尚未生效（政府公报多次确认）；跨境移转仍受条例其他条文（如保障资料原则）规管，公署亦以指引建议资料使用者采取合约保障等措施。,1,HK->CN:1,,,,
