pair_id,left_rule_id,right_rule_id,left_law,right_law,机器标记,优先级,出现查询数,方向分布,AI裁决分布,AI冲突类型分布,AI依据分布,示例query,AI理由样例,专家裁决(无冲突/稳定冲突/场景依赖),专家冲突类型,专家压制方向,专家法理依据(lex_specialis/lex_superior/contextual/none),专家备注
P049,CN_GBA_MO_GUIDE_Art7,MO_PDPA_Art20_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,跨法域; GBA指引相关,低,3,CN->MO:3,left_suppresses_right:3,义务与许可:3,lex_specialis:2; contextual:1,GBAMC-DRAFT-0159-FLIP-CN-MO,澳门法允许在明确同意后向低保护地区转移，但要求通知当局；GBA指引要求备案。两者程序义务并存，但澳门法未豁免内地合规，故澳门法不排斥GBA备案义务，仅增加通知要求，不构成实质冲突。,,,,,
P050,CN_GBA_MO_GUIDE_Art7,MO_PDPA_Art19_002,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,跨法域; GBA指引相关,低,3,CN->MO:2; MO->CN:1,left_suppresses_right:3,强制与可选:3,lex_specialis:2; contextual:1,GBAMC-DRAFT-0168-FLIP-CN-MO,GBA标准合同指引明确规定了备案要求，属于特别程序，应优先于澳门PDPA的一般个案审查机制。,,,,,
P051,CN_OUTBOUND_Art5_004,MO_PDPA_Art19_001,促进和规范数据跨境流动规定,澳门《个人资料保护法》,跨法域; AI裁决不一致,高,3,MO->CN:2; CN->MO:1,left_suppresses_right:2; right_suppresses_left:1,义务与许可:2; 许可与禁止:1,contextual:3,GBAMC-DRAFT-0405-FLIP-CN-MO,内地规定免予安全评估等程序，但澳门要求接收地法律体系确保适当保护。因GBA标准合同机制已获两地认可，视为满足适当保护要求，故内地豁免不构成对澳门义务的违反。,,,,,
P052,CN_GBA_HK_GUIDE_Art8,CN_PIPL_Art38_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,个人信息保护法,跨法域; GBA指引相关,低,3,HK->CN:3,left_suppresses_right:3,强制与可选:2; 一般与例外:1,lex_specialis:3,GBAMC-DRAFT-0048,GBA标准合同备案是特定机制下的强制要求，而PIPL第38条提供多种合规路径。在采用GBA标准合同时，备案义务取代一般出境评估或认证，故GBA指引优先。,,,,,
P053,CN_GDHMD_008,CN_GDHMD_023,广东省健康医疗数据安全分类分级管理技术规范,广东省健康医疗数据安全分类分级管理技术规范,同法内关系,低,2,CN->MO:2,exclude_left:2,并行义务:2,none:1; contextual:1,GBAMC-DRAFT-0461-FLIP-CN-MO,两项规范分别针对不同数据类型（检验检查报告与生命体征），不构成同一操作上的冲突，仅需同时遵守。,,,,,
P054,CN_GBA_MO_GUIDE_Art7,CN_GDHMD_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,广东省健康医疗数据安全分类分级管理技术规范,跨法域; GBA指引相关,低,2,CN->MO:1; MO->CN:1,left_suppresses_right:2,义务与许可:2,lex_specialis:2,GBAMC-DRAFT-0473-FLIP-CN-MO,基因数据跨境需国家审批，GBA指引的10个工作日备案程序不能替代审批，二者义务冲突，特别规范要求更严格审批程序。,,,,,
P055,CN_PIPL_Art40_001,HK_PDPO_DPP3_001,个人信息保护法,香港《个人资料（私隐）条例》,跨法域,低,2,HK->CN:2,left_suppresses_right:2,义务与义务:1; 义务与许可:1,contextual:2,GBAMC-DRAFT-0027,香港PDPO第33条未生效，跨境移转仅受保障资料原则规管，不构成与内地安全评估要求的直接冲突；但内地PIPL第40条对达到规定数量的处理者强制境内存储，与香港允许在保障原则下移转存在制度性张力，需通过GBA机制协调。,,,,,
P056,CN_PIPL_Art38_001,HK_PDPO_DPP3_001,个人信息保护法,香港《个人资料（私隐）条例》,跨法域; AI裁决不一致,高,2,HK->CN:2,left_suppresses_right:1; right_suppresses_left:1,义务与许可:2,contextual:2,GBAMC-DRAFT-0510,香港DPP3要求收集目的内的使用限制，而内地PIPL第38条提供多种出境合法路径。香港法不禁止跨境转移，仅要求目的限制，内地路径选择不构成对香港义务的排斥，香港义务优先适用。,,,,,
P057,CN_GDHMD_008,CN_PIPL_Art28_008,广东省健康医疗数据安全分类分级管理技术规范,个人信息保护法,,低,1,CN->HK:1,left_suppresses_right:1,义务与许可:1,lex_specialis:1,GBAMC-DRAFT-0323,GDHMD为广东省健康医疗数据专门规范，对检验检查报告要求假名化ID和水印，属于更具体的技术措施；PIPL第28条仅原则性规定敏感信息保护。特别规范应优先适用，故GDHMD要求必须执行。,,,,,
P058,CN_GBA_HK_GUIDE_Art5,CN_PIPL_Art28_008,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,个人信息保护法,跨法域; GBA指引相关,低,1,CN->HK:1,exclude_left:1,并行义务:1,contextual:1,GBAMC-DRAFT-0339,Art28要求敏感信息保护，GBA指引要求影响评估，两者并行不矛盾。但Art28作为一般法，GBA指引作为特别法，不影响各自适用，无冲突。,,,,,
P059,CN_GDHMD_001,MO_PDPA_Art19_002,广东省健康医疗数据安全分类分级管理技术规范,澳门《个人资料保护法》,跨法域,低,1,CN->MO:1,left_suppresses_right:1,许可与禁止:1,contextual:1,GBAMC-DRAFT-0154-FLIP-CN-MO,澳门作为数据来源地，其PDPA第19条是跨境转移的准据法；内地GDHMD规范仅约束内地处理者，不直接限制澳门向内地传输，故澳门法优先。,,,,,
P060,MO_PDPA_Art19_002,MO_PDPA_Art20_001,澳门《个人资料保护法》,澳门《个人资料保护法》,同法内关系,低,1,CN->MO:1,right_suppresses_left:1,一般与例外:1,lex_specialis:1,GBAMC-DRAFT-0169-FLIP-CN-MO,Art19.2要求个案批准，Art20允许在特定条件下不经批准转移，例外条款更具体。,,,,,
P061,CN_GBA_MO_GUIDE_Art2,CN_GDHMD_003,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,广东省健康医疗数据安全分类分级管理技术规范,跨法域; GBA指引相关,低,1,CN->MO:1,exclude_right:1,许可与禁止:1,contextual:1,GBAMC-DRAFT-0406-FLIP-CN-MO,操作数据含医保编号等4级数据，GBA指引明确排除重要数据，而GDHMD将此类数据定为4级，可能构成重要数据，故GBA标准合同不适用。,,,,,
P062,CN_GBA_MO_GUIDE_Art2,CN_GDHMD_008,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,广东省健康医疗数据安全分类分级管理技术规范,跨法域; GBA指引相关,低,1,CN->MO:1,left_suppresses_right:1,强制与可选:1,lex_specialis:1,GBAMC-DRAFT-0425-FLIP-CN-MO,GDHMD作为健康医疗数据专门规范，对检验检查报告提出假名化等强制技术要求，GBA指引未涉及技术细节，故在传输前须满足GDHMD要求。,,,,,
P063,CN_GBA_MO_GUIDE_Art2,CN_GDHMD_023,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,广东省健康医疗数据安全分类分级管理技术规范,跨法域; GBA指引相关,低,1,CN->MO:1,left_suppresses_right:1,强制与可选:1,lex_specialis:1,GBAMC-DRAFT-0425-FLIP-CN-MO,GDHMD对生命体征数据跨境远程监护要求DTLS 1.3加密，属于强制性技术标准，GBA指引未规定传输安全措施，故须叠加适用。,,,,,
P064,CN_OUTBOUND_Art5_004,CN_PIPL_Art39_001,促进和规范数据跨境流动规定,个人信息保护法,,低,1,MO->CN:1,left_suppresses_right:1,义务与许可:1,contextual:1,GBAMC-DRAFT-0151,PIPL要求单独同意，免评估规则不豁免告知同意义务，且本案数据量超10万，不满足豁免条件，故同意义务仍适用。,,,,,
P065,CN_GDHMD_001,CN_OUTBOUND_Art8_001,广东省健康医疗数据安全分类分级管理技术规范,促进和规范数据跨境流动规定,,低,1,MO->CN:1,left_suppresses_right:1,禁止与许可:1,lex_specialis:1,GBAMC-DRAFT-0210,广东省健康医疗数据规范明确基因测序数据跨境需国家审批，而《促进和规范数据跨境流动规定》第8条仅要求标准合同或认证。作为地方专门规范，其更严格的要求应优先，排除一般出境机制。,,,,,
P066,CN_GBA_MO_GUIDE_Art4,CN_GDHMD_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,广东省健康医疗数据安全分类分级管理技术规范,跨法域; GBA指引相关,低,1,MO->CN:1,right_suppresses_left:1,许可与禁止:1,lex_specialis:1,GBAMC-DRAFT-0378,GBA标准合同指引不适用于重要数据，基因数据跨境需国家审批，故指引的告知同意程序不足以满足要求，需按广东省规范执行国家审批。,,,,,
P067,CN_GBA_MO_GUIDE_Art7,CN_PIPL_Art38_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,个人信息保护法,跨法域; GBA指引相关,低,1,MO->CN:1,right_suppresses_left:1,一般与例外:1,lex_specialis:1,GBAMC-DRAFT-0388,GBA标准合同指引是内地出境规则的特殊便利机制，但操作中未明确选择该路径，且指引要求备案，而PIPL第38条提供多种条件。若适用GBA指引，则其备案义务取代一般出境评估/认证要求，但需以选择该机制为前提，故一般规则优先。,,,,,
P068,CN_GDHMD_008,CN_OUTBOUND_Art5_004,广东省健康医疗数据安全分类分级管理技术规范,促进和规范数据跨境流动规定,,低,1,MO->CN:1,left_suppresses_right:1,义务与许可:1,lex_specialis:1,GBAMC-DRAFT-0438,广东健康医疗规范要求跨境远程会诊假名化ID和水印，属行业特别规定，出境规定第5条免予评估不豁免行业安全义务，故行业规范优先。,,,,,
P069,CN_GDHMD_023,CN_OUTBOUND_Art5_004,广东省健康医疗数据安全分类分级管理技术规范,促进和规范数据跨境流动规定,,低,1,MO->CN:1,left_suppresses_right:1,义务与许可:1,lex_specialis:1,GBAMC-DRAFT-0438,广东规范要求生命体征跨境传输用DTLS 1.3加密，属技术强制，出境规定免予评估不改变传输安全要求，行业规范优先。,,,,,
P070,CN_GBA_MO_GUIDE_Art7,CN_OUTBOUND_Art8_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,跨法域; GBA指引相关,低,1,MO->CN:1,left_suppresses_right:1,义务与义务（备案与标准合同）:1,lex_specialis:1,GBAMC-DRAFT-0458,GBA指引要求向属地网信办备案，而一般出境规则要求订立标准合同或认证。在GBA机制下，备案是特别要求，但若数据量超限，则需按一般规则处理，两者在适用上存在先后。,,,,,
P071,CN_GBA_HK_GUIDE_Art4,CN_OUTBOUND_Art5_004,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,跨法域; GBA指引相关,低,1,HK->CN:1,left_suppresses_right:1,一般与例外:1,lex_specialis:1,GBAMC-DRAFT-0029,GBA指引为粤港澳大湾区特殊便利机制，其第4条禁止向区外提供，而《促进和规范数据跨境流动规定》第5条为一般性豁免规则。在GBA标准合同路径下，应优先适用GBA指引的特别限制，不得利用一般豁免规避区外禁止。,,,,,
P072,CN_GDHMD_001,HK_PDPO_DPP3_001,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,跨法域,低,1,HK->CN:1,right_suppresses_left:1,义务与禁止:1,contextual:1,GBAMC-DRAFT-0070,香港DPP3允许经同意后使用，但内地基因数据跨境需国家审批，属禁止性规定，且数据接收地法律要求优先于来源地一般原则。,,,,,
P073,CN_GBA_HK_GUIDE_Art5,CN_PIPL_Art39_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,个人信息保护法,跨法域; GBA指引相关,低,1,HK->CN:1,left_suppresses_right:1,义务与许可:1,contextual:1,GBAMC-DRAFT-0080,GBA指引要求影响评估，但PIPL第39条要求单独同意并告知境外接收方信息；两者并行不矛盾，但GBA评估不能替代单独同意，故PIPL第39条作为更具体义务优先。,,,,,
P074,CN_GBA_HK_GUIDE_Art5,HK_PDPO_DPP1_002,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,香港《个人资料（私隐）条例》,跨法域; GBA指引相关,低,1,HK->CN:1,left_suppresses_right:1,一般与例外:1,contextual:1,GBAMC-DRAFT-0093,香港PDPO要求收集目的合法且不超适度，AI训练目的需明确；GBA指引要求影响评估。两者并行，但香港法作为来源地法对目的限制更严格，评估不能替代目的合法性审查。,,,,,
P075,CN_GBA_HK_GUIDE_Art4,CN_OUTBOUND_Art7_002,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,跨法域; GBA指引相关,低,1,HK->CN:1,right_suppresses_left:1,许可与禁止:1,lex_specialis:1,GBAMC-DRAFT-0100,GBA指引Art4允许通过标准合同跨境，但Art7_002对敏感数据超1万人强制安全评估，且基因数据属重要数据，GBA机制不适用。,,,,,
P076,CN_GBA_HK_GUIDE_Art8,CN_PIPL_Art40_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,个人信息保护法,跨法域; GBA指引相关,低,1,HK->CN:1,right_suppresses_left:1,义务与许可:1,lex_superior:1,GBAMC-DRAFT-0499,若处理者属CIIO或达规定数量，PIPL要求境内存储及安全评估，GBA备案机制不能替代，PIPL作为上位法优先。,,,,,
P077,CN_GBA_HK_GUIDE_Art8,CN_OUTBOUND_Art8_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,跨法域; GBA指引相关,低,1,HK->CN:1,left_suppresses_right:1,强制与可选（备案义务）:1,lex_specialis:1,GBAMC-DRAFT-0504,"数据量78,936条（<10万）且含敏感信息，按Art8需标准合同；GBA指引Art8要求备案，但Art8_001为一般法，指引为特别法，特别法备案要求不冲突，但需同时满足。",,,,,
P078,CN_PIPL_Art38_001,CN_PIPL_Art40_001,个人信息保护法,个人信息保护法,同法内关系,低,1,HK->CN:1,left_suppresses_right:1,义务与许可:1,lex_specialis:1,GBAMC-DRAFT-0545,Art40针对关键信息基础设施或达到规定数量的处理者，要求境内存储，属特别规定；Art38为一般出境条件。本案数据量达45万且含敏感信息，应优先适用Art40，禁止直接出境，除非通过安全评估。,,,,,
P079,CN_GDHMD_001,HK_PDPO_DPP1_002,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,跨法域,低,1,HK->CN:1,right_suppresses_left:1,一般与例外:1,lex_specialis:1,GBAMC-DRAFT-0551,基因测序数据属4级健康数据，内地规范要求跨境需国家审批和匿名化，构成特别限制。香港法收集原则不涉及出境限制，但操作中基因数据出境须遵守内地特别规定。,,,,,
P080,CN_OUTBOUND_Art8_001,CN_PIPL_Art38_001,促进和规范数据跨境流动规定,个人信息保护法,,低,1,HK->CN:1,left_suppresses_right:1,义务与许可:1,lex_superior:1,GBAMC-DRAFT-0592,Art38为法律层级，Art8为部门规定。Art8虽规定10万至100万人可签标准合同，但Art38要求满足四项条件之一，标准合同仅为其中一项，且需符合Art39单独同意等前提，法律效力更高。,,,,,
