pair_id,left_rule_id,right_rule_id,left_law,right_law,left_norm,right_norm,机器标记,校验标记,出现查询数,方向分布,AI裁决分布,AI冲突类型分布,AI依据分布,示例query,AI理由样例,专家裁决(无冲突/稳定冲突/场景依赖),专家冲突类型,专家压制方向,专家法理依据,专家备注,专家法理依据(lex_specialis/lex_superior/contextual/none)
P137,CN_GBA_HK_GUIDE_Art2,HK_PDPO_DPP3_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,香港《个人资料（私隐）条例》,规范性文件（实施指引）,香港主体条例,跨法域; GBA指引相关,,1,CN->HK:1,并存（按孰严执行）:1,并行义务:1,contextual:1,GBAMC-DRAFT-0359,GBA指引允许标准合同跨境提供；香港PDPO第3原则限制使用目的。两法域义务累积适用，应同时满足。,,,,,,
P138,CN_GBA_HK_GUIDE_Art4,CN_OUTBOUND_Art7_002,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:1,1,CN->HK:1,待定（口径未明）:1,并行义务:1,contextual:1,GBAMC-DRAFT-0310,第7条安全评估与GBA指引告知同意、不得再转移义务并行，均须履行，按孰严执行。,,,,,,
P139,CN_GBA_HK_GUIDE_Art5,CN_OUTBOUND_Art7_002,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:1,1,CN->HK:1,待定（口径未明）:1,并行义务:1,contextual:1,GBAMC-DRAFT-0310,安全评估申报与个人信息保护影响评估并行，二者目的不同，均须完成。,,,,,,
P142,CN_GBA_MO_GUIDE_Art2,CN_SPI_008,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,网络安全标准实践指南 — 敏感个人信息识别指南,规范性文件（实施指引）,技术指南（推荐性）,跨法域; GBA指引相关,,1,CN->MO:1,并存（按孰严执行）:1,并行义务:1,contextual:1,GBAMC-DRAFT-0717,用药记录属敏感个人信息，GBA标准合同路径不排除敏感个人信息保护规则，义务并行。,,,,,,
P143,CN_GBA_MO_GUIDE_Art4,CN_OUTBOUND_Art8_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:1,1,CN->MO:1,待定（口径未明）:1,并行义务:1,contextual:1,GBAMC-DRAFT-0618,内地规则要求标准合同或认证；GBA指引要求告知或同意且不得向大湾区外提供。两者并行适用，按孰严执行。,,,,,,
P144,CN_GBA_MO_GUIDE_Art7,CN_HGR_RULES_Art36_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,人类遗传资源管理条例实施细则,规范性文件（实施指引）,部门规章（实施细则）,跨法域; GBA指引相关,,1,CN->MO:1,并存（按孰严执行）:1,并行义务:1,lex_specialis:1,GBAMC-DRAFT-0621,HGR实施细则第36条要求事先备案备份，GBA指引第7条要求标准合同备案。两者并行，处理者须分别向科技行政部门和网信/个资局备案。,,,,,,
P145,CN_GDHMD_003,MO_PDPA_Art19_002,广东省健康医疗数据安全分类分级管理技术规范,澳门《个人资料保护法》,团体标准（推荐性技术文件）,澳门法律,跨法域,,1,MO->CN:1,并存（按孰严执行）:1,并行义务:1,contextual:1,GBAMC-DRAFT-0375,澳门PDPA第19条第2款由澳门当局个案决定转移；广东团标对医保类4级数据提出单独同意与Token化。两者并行适用，无一方压制另一方。,,,,,,
P147,CN_GDHMD_008,CN_PIPL_Art39_001,广东省健康医疗数据安全分类分级管理技术规范,个人信息保护法,团体标准（推荐性技术文件）,法律,,normalized_basis_to_none:1,1,CN->MO:1,并存（按孰严执行）:1,并行义务:1,none:1,GBAMC-DRAFT-0763,团体标准建议检验检查报告跨境需假名化与水印，PIPL第39条要求告知并单独同意；二者并行，团体标准不得替代法律义务。,,,,,,
P149,CN_GDHMD_020,MO_PDPA_Art20_001,广东省健康医疗数据安全分类分级管理技术规范,澳门《个人资料保护法》,团体标准（推荐性技术文件）,澳门法律,跨法域,,1,MO->CN:1,并存（按孰严执行）:1,并行义务:1,contextual:1,GBAMC-DRAFT-0139,团体标准建议哈希化处理，澳门法律允许当事人同意等例外转移；二者义务并行，应按孰严执行，不构成冲突。,,,,,,
P150,CN_GDHMD_023,CN_OUTBOUND_Art7_002,广东省健康医疗数据安全分类分级管理技术规范,促进和规范数据跨境流动规定,团体标准（推荐性技术文件）,部门规章,,,1,CN->MO:1,并存（按孰严执行）:1,并行义务:1,none:1,GBAMC-DRAFT-0834,生命体征跨境远程监护加密要求为推荐性技术规范，与安全评估申报义务并行，不构成规范冲突。,,,,,,
P151,CN_HGR_Art28_001,CN_HGR_RULES_Art36_001,人类遗传资源管理条例,人类遗传资源管理条例实施细则,行政法规,部门规章（实施细则）,,,1,CN->MO:1,并存（按孰严执行）:1,并行义务:1,lex_specialis:1,GBAMC-DRAFT-0647,条例第28条与实施细则第36条均规范人类遗传资源信息对外提供，要求事先备案、信息备份，可能影响公共利益时须安全审查。两者并行，义务累积。,,,,,,
P152,CN_HGR_Art28_001,MO_PDPA_Art19_001,人类遗传资源管理条例,澳门《个人资料保护法》,行政法规,澳门法律,跨法域,,1,CN->MO:1,并存（按孰严执行）:1,并行义务:1,contextual:1,GBAMC-DRAFT-0762,人类遗传资源备案与澳门适当保护水平要求并行，义务累积，不构成排斥性冲突。,,,,,,
P153,CN_HGR_RULES_Art36_001,CN_OUTBOUND_Art5_004,人类遗传资源管理条例实施细则,促进和规范数据跨境流动规定,部门规章（实施细则）,部门规章,,,1,CN->MO:1,并存（按孰严执行）:1,并行义务:1,contextual:1,GBAMC-DRAFT-0703,人类遗传资源信息出境备案备份义务独立于数据出境数量豁免。第5条豁免仅针对个人信息数量门槛，不豁免人类遗传资源监管义务，两者并行。,,,,,,
P155,CN_OUTBOUND_Art5_004,CN_PIPL_Art39_001,促进和规范数据跨境流动规定,个人信息保护法,部门规章,法律,,,1,CN->MO:1,无冲突:1,义务与许可:1,contextual:1,GBAMC-DRAFT-0803,第5条豁免仅适用于不含敏感个人信息且不满10万人的情形。本操作涉及敏感个人信息且人数16222，豁免不适用，故与单独同意义务无冲突。,,,,,,
P156,CN_OUTBOUND_Art5_004,CN_PIPL_Art40_001,促进和规范数据跨境流动规定,个人信息保护法,部门规章,法律,,,1,CN->MO:1,排除右:1,一般与例外:1,lex_specialis:1,GBAMC-DRAFT-0620,PIPL第40条仅适用于关键信息基础设施运营者或达国家网信部门规定数量的处理者；本操作未表明属此类主体，故第40条不适用，第5条豁免亦因涉敏感个人信息不适用。,,,,,,
P157,CN_OUTBOUND_Art7_002,HK_PDPO_DPP1_002,促进和规范数据跨境流动规定,香港《个人资料（私隐）条例》,部门规章,香港主体条例,跨法域,,1,CN->HK:1,并存（按孰严执行）:1,并行义务:1,contextual:1,GBAMC-DRAFT-0310,内地安全评估与香港保障资料第1原则分属不同法域，义务并存，按孰严执行。,,,,,,
P158,CN_OUTBOUND_Art7_002,HK_PDPO_DPP1_003,促进和规范数据跨境流动规定,香港《个人资料（私隐）条例》,部门规章,香港主体条例,跨法域,,1,CN->HK:1,并存（按孰严执行）:1,并行义务:1,contextual:1,GBAMC-DRAFT-0310,内地安全评估与香港告知义务并行，接收方须履行PDPO告知要求。,,,,,,
P159,CN_OUTBOUND_Art7_002,HK_PDPO_DPP3_001,促进和规范数据跨境流动规定,香港《个人资料（私隐）条例》,部门规章,香港主体条例,跨法域,,1,CN->HK:1,并存（按孰严执行）:1,并行义务:1,contextual:1,GBAMC-DRAFT-0310,内地安全评估与香港使用限制原则并行，药物警戒用途须符合收集目的或取得同意。,,,,,,
P160,CN_OUTBOUND_Art7_002,HK_PDPO_S33_NOTE,促进和规范数据跨境流动规定,香港《个人资料（私隐）条例》,部门规章,香港主体条例,跨法域,,1,CN->HK:1,并存（按孰严执行）:1,并行义务:1,contextual:1,GBAMC-DRAFT-0310,第33条未生效，跨境移转仍受PDPO其他原则规管，与内地安全评估并行不冲突。,,,,,,
P161,CN_OUTBOUND_Art8_001,CN_PIPL_Art38_001,促进和规范数据跨境流动规定,个人信息保护法,部门规章,法律,,,1,CN->HK:1,并存（按孰严执行）:1,并行义务:1,none:1,GBAMC-DRAFT-0321,PIPL第38条与数据跨境规定第8条均为出境条件，后者为前者具体化。两者并行，按孰严执行。,,,,,,
P162,CN_OUTBOUND_Art8_001,CN_SPI_015,促进和规范数据跨境流动规定,网络安全标准实践指南 — 敏感个人信息识别指南,部门规章,技术指南（推荐性）,,,1,CN->MO:1,并存（按孰严执行）:1,并行义务:1,none:1,GBAMC-DRAFT-0781,睡眠监测报告属敏感个人信息，与第8条敏感个人信息出境门槛判断并行适用，不构成冲突。,,,,,,
P164,CN_PIPL_Art38_001,MO_PDPA_Art20_001,个人信息保护法,澳门《个人资料保护法》,法律,澳门法律,跨法域,,1,CN->MO:1,并存（按孰严执行）:1,一般与例外:1,contextual:1,GBAMC-DRAFT-0669,澳门例外情形与内地出境合法条件并行，不相互排斥；满足例外不免除内地出境义务。,,,,,,
P165,CN_PIPL_Art40_001,MO_PDPA_Art19_002,个人信息保护法,澳门《个人资料保护法》,法律,澳门法律,跨法域,,1,CN->MO:1,并存（按孰严执行）:1,并行义务:1,contextual:1,GBAMC-DRAFT-0815,PIPL第40条要求关键信息基础设施运营者或达量处理者境内存储并通过安全评估；澳门PDPA第19条第2款允许在保护水平不足时由当局个案决定。两法域义务并行，按孰严执行。,,,,,,
P167,CN_SPI_017,MO_PDPA_Art20_001,网络安全标准实践指南 — 敏感个人信息识别指南,澳门《个人资料保护法》,技术指南（推荐性）,澳门法律,跨法域,,1,MO->CN:1,并存（按孰严执行）:1,并行义务:1,contextual:1,GBAMC-DRAFT-0375,澳门PDPA第20条为转移例外情形；CN_SPI_017将疾病相关膳食建议列为敏感个人信息。两者分别规范出境例外与内地敏感信息识别，义务并存。,,,,,,
P168,CN_SPI_128,HK_PDPO_DPP4_001,网络安全标准实践指南 — 敏感个人信息识别指南,香港《个人资料（私隐）条例》,技术指南（推荐性）,香港主体条例,跨法域,,1,HK->CN:1,并存（按孰严执行）:1,并行义务:1,contextual:1,GBAMC-DRAFT-0031,香港保安原则要求保障资料安全；内地指南提示健康档案含医疗核心内容按敏感信息处理。两者并行，义务累积，按孰严执行。,,,,,,
P169,HK_PDPO_DPP1_002,HK_PDPO_DPP4_001,香港《个人资料（私隐）条例》,香港《个人资料（私隐）条例》,香港主体条例,香港主体条例,同法内关系,,1,HK->CN:1,并存（按孰严执行）:1,并行义务:1,none:1,GBAMC-DRAFT-0494,同属香港PDPO保障资料原则，分别规范收集目的与保安措施，对本次存储备份操作并行适用，不相互排斥。,,,,,,
